Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
4aec8bda-923f-4dc2-8875-592ad9640661,Mosul: General role,A role that has all API privileges except administrative privileges with security implications,,Manage Concept Classes; Patient Dashboard - View Graphs Section; Patient Dashboard - View Demographics Section; Patient Dashboard - View Overview Section; Patient Dashboard - View Forms Section; Patient Dashboard - View Regimen Section; Delete Patient Identifiers; Preview Forms; Get Order Sets; View Navigation Menu; Delete Cohorts; Manage Forms; Delete Patient Programs; Manage Field Types; Add Observations; View Encounters; View Problems; Delete HL7 Inbound Exception; Update HL7 Source; View Metadata Via Mapping; Delete HL7 Inbound Archive; Add Concept Proposals; Add Patient Identifiers; View Locations; Manage FormEntry XSN; Purge Field Types; Manage Order Set Attribute Types; Edit Concept Proposals; View Data Entry Statistics; Edit Problems; Manage Modules; Add Relationships; Manage Concept Attribute Types; Add Visits; Add Patients; Add Orders; Delete Encounters; Manage Address Templates; Delete Relationships; Manage HL7 Messages; Get Notes; Edit Diagnoses; Upload XSN; View Unpublished Forms; Manage Programs; View Patients; Get Conditions; Add Problems; View Programs; Manage Concept Stop Words; Manage Roles; View Concept Classes; Manage Address Hierarchy; View Observations; Manage Identifier Sources; Manage RESTWS; Get Visit Types; Get HL7 Inbound Exception; View Concept Sources; Get Visit Attribute Types; Get Visits; Get Providers; Get Location Attribute Types; Get Encounter Roles; Manage OWA; Get HL7 Source; Add HL7 Inbound Archive; Get HL7 Inbound Archive; Delete Orders; Get HL7 Inbound Queue; View RESTWS; Edit Patient Programs; Manage Location Attribute Types; Remove Problems; Add Patient Programs; Edit Cohorts; Manage Concept Map Types; Edit Users; Get Concept Attribute Types; Add HL7 Inbound Queue; Get Concept Datatypes; Get Concept Classes; Get Roles; Manage Scheduler; Get Privileges; Get Order Types; Delete Observations; Get Field Types; Get Concept Sources; Get Relationship Types; Update HL7 Inbound Archive; Update HL7 Inbound Queue; Get Identifier Types; Edit People; Delete People; Edit Patient Identifiers; Get Forms; Get Orders; Manage Global Properties; View Patient Identifiers; Get Global Properties; Get Patient Programs; Get People; Get Person Attribute Types; Get Database Changes; Get Relationships; Get Allergies; Edit Orders; Get Problems; View Allergies; Manage Implementation Id; Get Programs; Get Concept Reference Terms; Get Order Frequencies; View Concept Proposals; Manage Encounter Types; View Roles; Get Concept Map Types; Add Allergies; Add HL7 Inbound Exception; Delete HL7 Inbound Queue; View People; Edit Allergies; Manage Location Tags; Manage Concept Reference Terms; Delete Diagnoses; Manage Person Attribute Types; Patient Overview - View Relationships; Patient Overview - View Problem List; Manage Order Types; Get Encounters; Get Users; Get Locations; Manage Alerts; Get Encounter Types; Get Patients; View Identifier Types; Get Observations; Edit Observations; Get Patient Cohorts; Manage Providers; Get Patient Identifiers; Delete Users; Manage Locations; Manage Concept Name tags; Manage Metadata Mapping; View Forms; Edit Conditions; Add HL7 Source; Add Users; Get Concepts; View Relationship Types; Edit Notes; Get Concept Proposals; Manage Search Index; View Relationships; Manage Relationships; Generate Batch of Identifiers; View Patient Programs; Edit User Passwords; View Person Attribute Types; View Patient Cohorts; Add Encounters; Upload Batch of Identifiers; View Field Types; View Encounter Types; Manage Identifier Types; Remove Allergies; Update HL7 Inbound Exception; View Order Types; Get Diagnoses Attribute Types; Patient Overview - View Patient Actions; Add Cohorts; Delete Visits; Manage Order Frequencies; Edit Relationships; Manage Auto Generation Options; Manage Concepts; Manage Concept Datatypes; Add People; Manage Encounter Roles; View Privileges; Delete Patients; Delete Concept Proposals; Manage Visit Types; Delete Conditions; View Concept Datatypes; Edit Patients; Delete Notes; Edit Encounters; Manage Visit Attribute Types; Form Entry; View Global Properties; Get Care Settings; Manage Concept Sources; Manage Order Sets; Get Order Set Attribute Types; Manage Relationship Types; Get Diagnoses; Edit Visits; View Users
f0e07b09-5859-4411-baab-335dabb57227,Mosul: Patient registration,Able to register a patient.,Mosul: General role,,
ec48c936-a9fc-4e32-9a10-06186a7ff19d,Mosul: View patient queues,Able to view patient queues.,Mosul: General role,Get Queues; Get Queue Entries; Get Queue Rooms,
8cac4dde-157c-42af-a9cf-71643af3ec4e,Mosul: Manage appointments,Able to manage patient appointments.,Mosul: General role,Manage Appointments; Appointments: Invite Providers; Manage Appointment Services; Manage Appointment Specialities; Manage Own Appointments; Reset Appointment Status; View Appointment Services; View Appointments
e9c625fa-f464-4fff-9852-1105fdb1373a,Mosul: Manage Patients,Able to create edit and delete patients and view patient summary.,Mosul: General role,Patient Dashboard - View Patient Summary; Manage Patient Medication; Configure Visits; Patient Overview - View Allergies; Patient Dashboard - View Conditions; Patient Dashboard - View Encounters Section; View Concepts; Manage Immunization Summary; Manage Order Basket; Manage Visit Note; Manage Clinical Forms; Patient Overview - View Programs; Manage Patient Orders; Manage Patient Attachments; View Orders
bc5879a4-9732-47ea-bcaf-981ec233c912,Registration Officer,Registration Officer,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration,,
2584c09e-2453-46a4-b8f2-96f93d49a0e9,Mental Health Nurse,Mental Health Nurse,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Manage Patients,,
90214c95-c4d5-48ae-af98-d5cbe5165650,Mental Health Counselor,Mental Health Counselor,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Manage Patients,,
6d235145-ce5e-49a3-a85a-b3e29e9f0e8c,Mental Health Doctor,Mental Health Doctor,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Manage Patients,,
a4e691d1-204c-4f4e-9d95-0d308fae2ab9,Maternity Nurse,Maternity Nurse,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Manage Patients,,
